id,cities_id,name,created_at,updated_at
1,1,Amistad,12/03/2022,12/03/2022
2,1,Antonino (Poblacion),12/03/2022,12/03/2022
3,1,Apanay,12/03/2022,12/03/2022
4,1,Aurora,12/03/2022,12/03/2022
5,1,Bagnos,12/03/2022,12/03/2022
6,1,Bagong Sikat,12/03/2022,12/03/2022
7,1,Bantug-Petines,12/03/2022,12/03/2022
8,1,Bonifacio,12/03/2022,12/03/2022
9,1,Burgos,12/03/2022,12/03/2022
10,1,Calaocan (Poblacion),12/03/2022,12/03/2022
11,1,Callao,12/03/2022,12/03/2022
12,1,Dagupan,12/03/2022,12/03/2022
13,1,Inanama,12/03/2022,12/03/2022
14,1,Linglingay,12/03/2022,12/03/2022
15,1,M.H. del Pilar,12/03/2022,12/03/2022
16,1,Mabini,12/03/2022,12/03/2022
17,1,Magsaysay (Poblacion),12/03/2022,12/03/2022
18,1,Mataas na Kahoy,12/03/2022,12/03/2022
19,1,Paddad,12/03/2022,12/03/2022
20,1,Rizal,12/03/2022,12/03/2022
21,1,Rizaluna,12/03/2022,12/03/2022
22,1,Salvacion,12/03/2022,12/03/2022
23,1,San Antonio (Poblacion),12/03/2022,12/03/2022
24,1,San Fernando,12/03/2022,12/03/2022
25,1,San Francisco,12/03/2022,12/03/2022
26,1,San Juan,12/03/2022,12/03/2022
27,1,San Pablo,12/03/2022,12/03/2022
28,1,San Pedro,12/03/2022,12/03/2022
29,1,Santa Cruz,12/03/2022,12/03/2022
30,1,Santa Maria,12/03/2022,12/03/2022
31,1,Santo Domingo,12/03/2022,12/03/2022
32,1,Santo Tomas,12/03/2022,12/03/2022
33,1,Victoria,12/03/2022,12/03/2022
34,1,Zamora,12/03/2022,12/03/2022
35,2,Allangigan,12/03/2022,12/03/2022
36,2,Aniog,12/03/2022,12/03/2022
37,2,Baniket,12/03/2022,12/03/2022
38,2,Bannawag,12/03/2022,12/03/2022
39,2,Bantug,12/03/2022,12/03/2022
40,2,Barangcuag,12/03/2022,12/03/2022
41,2,Baui,12/03/2022,12/03/2022
42,2,Bonifacio,12/03/2022,12/03/2022
43,2,Buenavista,12/03/2022,12/03/2022
44,2,Bunnay,12/03/2022,12/03/2022
45,2,Calabayan-Minanga,12/03/2022,12/03/2022
46,2,Calaccab,12/03/2022,12/03/2022
47,2,Calaocan,12/03/2022,12/03/2022
48,2,Kalusutan,12/03/2022,12/03/2022
49,2,Campanario,12/03/2022,12/03/2022
50,2,Canangan,12/03/2022,12/03/2022
51,2,Centro I (Poblacion),12/03/2022,12/03/2022
52,2,Centro II (Poblacion),12/03/2022,12/03/2022
53,2,Centro III (Poblacion),12/03/2022,12/03/2022
54,2,Consular,12/03/2022,12/03/2022
55,2,Cumu,12/03/2022,12/03/2022
56,2,Dalakip,12/03/2022,12/03/2022
57,2,Dalenat,12/03/2022,12/03/2022
58,2,Dipaluda,12/03/2022,12/03/2022
59,2,Duroc,12/03/2022,12/03/2022
60,2,Lourdes (El Escaño),12/03/2022,12/03/2022
61,2,Esperanza,12/03/2022,12/03/2022
62,2,Fugaru,12/03/2022,12/03/2022
63,2,Liwliwa,12/03/2022,12/03/2022
64,2,Ingud Norte,12/03/2022,12/03/2022
65,2,Ingud Sur,12/03/2022,12/03/2022
66,2,La Suerte,12/03/2022,12/03/2022
67,2,Lomboy,12/03/2022,12/03/2022
68,2,Loria,12/03/2022,12/03/2022
69,2,Mabuhay,12/03/2022,12/03/2022
70,2,Macalauat,12/03/2022,12/03/2022
71,2,Macaniao,12/03/2022,12/03/2022
72,2,Malannao,12/03/2022,12/03/2022
73,2,Malasin,12/03/2022,12/03/2022
74,2,Mangandingay,12/03/2022,12/03/2022
75,2,Minanga Proper,12/03/2022,12/03/2022
76,2,Pappat,12/03/2022,12/03/2022
77,2,Pissay,12/03/2022,12/03/2022
78,2,Ramona,12/03/2022,12/03/2022
79,2,Rancho Bassit,12/03/2022,12/03/2022
80,2,Rang-ayan,12/03/2022,12/03/2022
81,2,Salay,12/03/2022,12/03/2022
82,2,San Ambrocio,12/03/2022,12/03/2022
83,2,San Guillermo,12/03/2022,12/03/2022
